6025: Datenmodell BAFU;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lage (Geometrie);X Koordinaten;Y Koordinaten;Höhe;Identifikator;Name;Grundwasserleiter_Typ;Quelltyp;Fassungsart;Nutzungszustand;Trinkwasser;Zweck;Notwasserversrogung;Öffentliches Interesse;Schüttung minimal;Schüttung mittel;Schüttung maximal
;2735270;1203880;1550;GL_323;Quelle Unter Stafel Vorderegg;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2734755;1204420;1845;GL_1022;Quelle Hinteregg Ober Stafel 1;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2735390;1203940;1525;GL_324;Quelle Hinteregg Unter Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2736980;1203680;1940;GL_326;Quelle Riseten Ober Stafel 1;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2736980;1203685;1940;GL_983;Quelle Riseten Ober Stafel 2;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2736990;1203670;1940;GL_984;Quelle Riseten Ober Stafel 3;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2736750;1204270;1750;GL_327;Quelle Riseten Mittel Stafel 1;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2735900;1203810;1445;GL_328;Quelle Riseten Unter Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2733191;1202065;1189;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2733756;1202174;1331;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2734140;1201870;1541;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727146;1217494;1562;GL_143;Obere Nüenalp 2;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727119;1217299;1599;GL_144;Obere Nüenalp 1;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2726255;1217429;1328;;Quelle Untere Nüenalp 2;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2726255;1217429;1328;GL_707;Quelle Untere Nüenalp 1;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727340;1215580;1380;GL_159;Hofaelpli;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;15;24;32
;2726946;1216118;1258;;;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;20;48;80
;2727612;1215902;1608;;;Karst;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;14;27;35
;2731869;1217652;1308;GL_388;Kaltenbrunnen;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;;;
;2732120;1216614;1528;GL_389;Rietboden;Karst;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;;;
;2732380;1216320;1611;GL_387;Alp Bigligen;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;;;
